orderid,productid,orderdate,quantity
124,4,5/4/2024,2
125,5,5/5/2024,3
126,6,5/6/2024,1
127,7,5/7/2024,2
128,8,5/8/2024,1
129,9,5/9/2024,1
130,10,5/10/2024,2
131,11,5/11/2024,3
132,12,5/12/2024,1
133,13,5/13/2024,1
134,14,5/14/2024,2
135,15,5/15/2024,1
136,16,5/16/2024,2
137,17,5/17/2024,1
138,18,5/18/2024,1
139,19,5/19/2024,2
140,20,5/20/2024,1
141,1,5/21/2024,1
142,2,5/22/2024,3
143,3,5/23/2024,2
144,4,5/24/2024,1
145,5,5/25/2024,2
146,6,5/26/2024,3
147,7,5/27/2024,1
148,8,5/28/2024,1
149,9,5/29/2024,2
150,10,5/30/2024,2
151,11,6/1/2024,1
152,12,6/2/2024,1
153,13,6/3/2024,2
154,14,6/4/2024,3
155,15,6/5/2024,2
156,16,6/6/2024,1
157,17,6/7/2024,2
158,18,6/8/2024,1
159,19,6/9/2024,3
160,20,6/10/2024,2
161,1,6/11/2024,1
162,2,6/12/2024,1
163,3,6/13/2024,2
164,4,6/14/2024,3
165,5,6/15/2024,1
166,6,6/16/2024,2
167,7,6/17/2024,3
168,8,6/18/2024,1
169,9,6/19/2024,2
170,10,6/20/2024,3
171,11,6/21/2024,1
172,12,6/22/2024,2
173,13,6/23/2024,3
174,14,6/24/2024,1
175,15,6/25/2024,2
176,16,6/26/2024,3
177,17,6/27/2024,1
178,18,6/28/2024,2
179,19,6/29/2024,3
180,20,6/30/2024,1
181,1,7/1/2024,2
182,2,7/2/2024,1
183,3,7/3/2024,2
184,4,7/4/2024,3
185,5,7/5/2024,1
186,6,7/6/2024,2
187,7,7/7/2024,3
188,8,7/8/2024,1
189,9,7/9/2024,3
190,10,7/10/2024,1
191,11,7/11/2024,2
192,12,7/12/2024,1
193,13,7/13/2024,2
194,14,7/14/2024,3
195,15,7/15/2024,1
196,16,7/16/2024,2
197,17,7/17/2024,3
198,18,7/18/2024,1
199,19,7/19/2024,3
200,20,7/20/2024,3
